run_id,frame,elapsed_seconds,simulation_time,round_number,paused,ai_enabled,ai_mode,ai_last_action,manual_override,root_tip_count,active_tip_count,root_segment_count,branch_count,attachment_count,detach_count,collision_count,wrap_count,mark_count,spill_count,transfer_count,absorption_events,total_absorbed,water_remaining,depleted_water_pockets,droplet_count,fragment_count,nearest_water_x,nearest_water_y,nearest_water_z,lead_tip_x,lead_tip_y,lead_tip_z,lead_tip_dir_x,lead_tip_dir_y,lead_tip_dir_z,lead_tip_radius,active_rock_wrap_scores,stagnation_seconds,completion_seconds
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,257,8.277,8.567,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,19,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.133
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,265,8.544,8.833,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,19,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.400
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,273,8.811,9.100,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,19,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,0.000,0.667
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,281,9.077,9.367,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,19,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,1.033,0.933
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,289,9.344,9.633,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,20,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,1.033,0.100
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,297,9.610,9.900,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,21,1,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.8543,0.6056,-0.2807,0.0000,5.6500,0.0000,0.0239,-0.9973,-0.0695,0.10500,0.00000,1.033,0.367
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,305,9.877,10.167,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,21,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,1.033,0.233
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,313,10.144,10.433,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,21,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,2.067,0.500
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,321,10.411,10.700,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,21,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,2.067,0.767
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,329,10.677,10.967,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,21,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,2.067,1.033
