run_id,frame,wall_timestamp,elapsed_seconds,sim_time,round_index,paused,ai_enabled,ai_mode,ai_mode_time,ai_mode_duration,human_override_active,stagnation_timer,completion_timer,cell_x,cell_y,cell_z,leading_dir_x,leading_dir_y,leading_dir_z,progress_x,displacement_since_sample,filament_count,live_filament_count,total_filament_points,avg_filament_length,total_filament_length,longest_filament_length,front_tip_count,rear_root_count,adhesion_count,attached_adhesion_count,detached_adhesion_count,monomer_count,mark_count,trail_count,growth_drive,shrink_drive,branch_drive,detach_drive,retrograde_rate,flex_noise,growth_scale,contractility,shape_bulge,dip,base_radius,max_filaments,max_points_per_filament
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,124,1779842970.903996,2.515734,2.755556,1,0,1,CURIOUS,2.755556,11.46348,0,0.0,0.0,-3.049572,-0.151698,1.2672,0.962716,0.270514,0.0,-3.049572,0.163359,64,64,547,0.880614,56.359327,1.85721,58,12,14,14,0,82,2,1,1.633573,0.940669,0.288015,0.584448,0.055,0.364358,1.0,0.75689,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,127,1779842971.001074,2.612574,2.822222,1,0,1,CURIOUS,2.822222,11.46348,0,0.0,0.0,-3.035571,-0.147582,1.2672,0.957696,0.287781,0.0,-3.035571,0.177874,64,64,553,0.886974,56.766356,1.85721,57,13,14,14,0,82,2,1,1.643184,0.940484,0.289278,0.584139,0.055,0.3653,1.0,0.756828,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,130,1779842971.098469,2.71024,2.888889,1,0,1,CURIOUS,2.888889,11.46348,0,0.0,0.0,-3.021521,-0.143175,1.2672,0.952362,0.304971,0.0,-3.021521,0.192507,64,64,561,0.895884,57.336572,1.85721,56,14,14,14,0,82,2,1,1.65271,0.9403,0.290526,0.583833,0.055,0.366237,1.0,0.756767,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,133,1779842971.203443,2.814709,2.955556,1,0,1,CURIOUS,2.955556,11.46348,0,0.0,0.0,-3.00751,-0.138503,1.2672,0.946721,0.322055,0.0,-3.00751,0.207167,64,64,567,0.899892,57.59307,1.85721,56,13,14,14,0,82,2,1,1.66215,0.940118,0.291759,0.583529,0.055,0.367169,1.0,0.756706,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,136,1779842971.295827,2.907538,3.022222,1,0,1,CURIOUS,3.022222,11.46348,0,0.0,0.0,-2.993668,-0.133608,1.2672,0.940785,0.339004,0.0,-2.993668,0.221723,64,64,575,0.904098,57.862269,1.85721,57,14,14,14,0,82,2,2,1.671505,0.939937,0.292977,0.583229,0.055,0.368094,1.0,0.756646,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,142,1779842971.411478,3.023243,3.155556,1,0,1,CURIOUS,3.155556,11.46348,0,0.0,0.0,-2.965889,-0.122937,1.2672,0.928077,0.37239,0.0,-2.965889,0.251173,64,64,589,0.915546,58.594926,1.958267,54,15,14,14,0,82,2,2,1.689964,0.939581,0.295369,0.582635,0.055,0.369929,1.0,0.756527,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,147,1779842971.492324,3.104099,3.266667,1,0,1,CURIOUS,3.266667,11.46348,0,0.0,0.0,-2.943021,-0.113288,1.2672,0.916705,0.399565,0.0,-2.943021,0.275676,64,64,592,0.912752,58.416156,1.958267,55,15,14,14,0,81,2,2,1.705095,0.939289,0.297319,0.582148,0.055,0.371442,1.0,0.75643,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,152,1779842971.609645,3.221365,3.377778,1,0,1,CURIOUS,3.377778,11.46348,0,0.0,0.0,-2.920929,-0.103202,1.2672,0.904708,0.426033,0.0,-2.920929,0.299594,64,64,604,0.923624,59.111957,1.958267,53,15,14,14,0,81,2,3,1.72,0.939001,0.299231,0.581669,0.055,0.372939,1.0,0.756334,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,158,1779842971.69624,3.30171,3.511111,1,0,1,CURIOUS,3.511111,11.46348,0,0.0,0.0,-2.896072,-0.090875,1.2672,0.889614,0.456712,0.0,-2.896072,0.326837,64,64,621,0.943339,60.373712,1.99375,53,16,15,15,0,81,2,3,1.737593,0.938662,0.301475,0.581103,0.055,0.374716,1.0,0.756221,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,164,1779842971.853733,3.465231,3.644444,1,0,1,CURIOUS,3.644444,11.46348,0,0.0,0.0,-2.871181,-0.077477,1.2672,0.873926,0.486058,0.0,-2.871181,0.354502,64,64,642,0.963674,61.675132,2.022706,52,16,15,15,0,81,2,3,1.754871,0.938329,0.303666,0.580548,0.055,0.376472,1.0,0.75611,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,166,1779842971.9158,3.527503,3.688889,1,0,1,CURIOUS,3.688889,11.46348,0,0.0,0.0,-2.862983,-0.072829,1.2672,0.868597,0.495519,0.0,-2.862983,0.363703,64,64,646,0.966281,61.841954,2.020227,52,16,15,15,0,80,2,3,1.760562,0.938219,0.304384,0.580365,0.055,0.377053,1.0,0.756073,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,170,1779842972.000083,3.611696,3.777778,1,0,1,CURIOUS,3.777778,11.46348,0,0.0,0.0,-2.84674,-0.063273,1.2672,0.857834,0.513928,0.0,-2.84674,0.382072,64,64,657,0.97445,62.364799,2.015374,51,16,15,14,1,82,2,3,1.771841,0.938001,0.305804,0.580002,0.055,0.378207,1.0,0.756,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,176,1779842972.175961,3.787044,3.911111,1,0,1,CURIOUS,3.911111,11.46348,0,0.0,0.0,-2.821429,-0.047473,1.2672,0.841537,0.540199,0.0,-2.821429,0.411077,64,64,680,1.001508,64.096502,2.008749,52,16,16,15,1,81,2,3,1.788508,0.937679,0.307892,0.579466,0.055,0.379921,1.0,0.755893,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,177,1779842972.201243,3.812805,3.933333,1,0,1,CURIOUS,3.933333,11.46348,0,0.0,0.0,-2.817213,-0.044737,1.2672,0.838816,0.544415,0.0,-2.817213,0.415953,64,64,681,1.00272,64.17405,2.007733,52,16,16,15,1,81,2,3,1.791257,0.937626,0.308235,0.579377,0.055,0.380205,1.0,0.755875,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,181,1779842972.354557,3.966177,4.022222,1,0,1,CURIOUS,4.022222,11.46348,0,0.0,0.0,-2.800488,-0.033586,1.2672,0.827953,0.560798,0.0,-2.800488,0.005025,64,64,686,1.004732,64.302839,2.003714,50,16,16,15,1,81,2,3,1.802169,0.937416,0.309594,0.579026,0.055,0.381334,1.0,0.755805,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,184,1779842972.438352,4.050014,4.088889,1,0,1,CURIOUS,4.088889,11.46348,0,0.0,0.0,-2.788087,-0.025013,1.2672,0.819855,0.572571,0.0,-2.788087,0.020101,64,64,684,0.99854,63.906535,1.961602,50,16,17,16,1,81,2,3,1.810268,0.93726,0.310598,0.578766,0.055,0.382175,1.0,0.755753,1.4,0.0,1.32,64,24
