run_id,sample_index,sim_time_s,frame,round,ai_enabled,ai_mode,paused,ion_index,ion_charge,ion_marked,ion_attached_channel,ion_inside,ion_x,ion_y,ion_z,ion_vx,ion_vy,ion_vz,ion_speed,ion_recent_transfer_timer,total_ions,inside_count,outside_count,open_channel_count,total_crossings,global_pressure_bias,global_swirl_strength,electric_x,electric_y,electric_z,channel_open_mask,channel_attached_counts
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,26,-1,0,,0,-7.828184,0.72648,-1.488491,-0.105385,0.150424,-0.232671,0.296427,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,27,1,0,,0,1.752178,2.050979,-5.661157,0.105619,-0.056653,-0.435043,0.451251,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,28,-1,0,,0,0.375639,-1.457364,6.632794,-0.094936,-0.286626,-0.218493,0.372702,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,29,-1,0,,0,-0.158564,-3.448419,-5.232738,0.017791,-0.280508,-0.032144,0.282904,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,30,1,0,,0,6.162131,-2.315304,0.62589,0.164707,-0.485416,0.163555,0.538059,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,31,1,0,,0,-5.645301,3.632547,2.306329,0.020679,0.261427,-0.061294,0.269311,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,32,1,0,,0,-5.090248,-3.594504,2.124882,-0.275062,0.106628,-0.759804,0.815065,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,33,1,0,,0,-1.235323,4.899818,-5.317662,-0.096809,-0.164912,-0.5494,0.581729,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,34,1,0,,0,5.018214,-2.314104,3.218287,0.069623,-0.183366,-0.255133,0.321813,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,35,-1,0,,0,4.554912,-3.76686,2.488407,-0.385593,-0.052656,0.327005,0.508318,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,36,-1,0,,0,5.96857,-2.297642,4.409678,-0.110961,0.029583,-0.839466,0.847285,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,37,-1,0,,0,-3.490959,5.71252,-2.413867,0.359205,0.184547,-0.175436,0.440299,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,38,-1,0,,0,-7.016389,-0.705258,2.882142,0.285044,-0.171547,-0.119445,0.353476,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,39,-1,0,,0,-5.41758,0.539271,-3.849238,0.169984,0.08094,-0.163259,0.249197,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,40,-1,0,,0,-1.310564,-5.997779,-1.077182,-0.403417,-0.252701,-0.507693,0.695956,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,41,1,0,,0,5.132525,1.833447,-5.49706,-0.067183,0.031209,-0.300582,0.309576,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,42,-1,0,,0,6.740993,-1.891216,2.001389,0.201195,0.153918,-0.313846,0.403323,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,43,1,0,,0,-3.135545,-5.803603,1.322784,-0.320704,-0.27711,0.640341,0.767905,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,44,1,0,,0,4.173236,-4.699094,-4.766222,-0.504138,0.29228,0.302587,0.656613,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,45,-1,0,,0,-6.223708,-2.276543,-1.389225,0.41795,0.603663,-0.334793,0.806955,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,46,-1,0,,0,2.200208,4.520987,-5.206429,-0.270734,-0.014532,-0.243289,0.364277,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,47,1,0,,0,-2.608162,4.573452,4.787949,0.374813,-0.294744,0.47513,0.673133,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,48,1,0,,0,-6.512438,1.896491,-0.722694,-0.286637,-0.313029,0.319882,0.531482,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,49,-1,0,,0,-2.279594,-5.725189,3.463561,0.15139,0.078297,-0.353061,0.392047,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,50,-1,0,,0,-1.676211,0.062236,-6.34551,0.190494,-0.55727,-0.550806,0.806365,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,51,1,0,,0,-6.32856,1.076741,4.569014,-0.017997,-0.446242,-0.258008,0.515775,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
