csv_run_id,csv_elapsed_seconds,simulation_time,frame,row_type,object_id,object_kind,round_number,round_goal,spawned_this_round,completed_products,active_count,raw_count,blueprint_count,protein_count,product_count,avg_speed,avg_energy_charge,ai_enabled,ai_mode,ai_stagnant_time,ai_completion_time,paused,drone_x,drone_y,drone_z,drone_vx,drone_vy,drone_vz,drone_target_x,drone_target_y,drone_target_z,attached_count,particle_count,effect_count,station_count,energy_stream_count,particle_id,kind,alive,attached,marked,age,processing_cooldown,x,y,z,vx,vy,vz,target_x,target_y,target_z,radius,last_speed,station_name,station_type,station_charge,station_touch_count,station_last_touched,effect_type
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_15,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-1.349634586135525,0.3756454770063074,-2.8494370566440406,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_16,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-0.4483196269694001,0.668840557823921,-1.9457456445100423,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.001,0.001,1,station,station_17,station,1,12,5,0,5,5,0,0,0,1.0584388604288397,0.0,True,FEED,0.001,0.0,False,-4.4000099200000005,0.0,0.0,-0.00992,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,0.4170438836215431,0.36966374532723895,-1.1639869868961112,,,,,,,0.45,,Ribosome,ribosome,0,0,0.0,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,summary,cell_factory,summary,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,,,,,,,,,,,,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,drone,ai_enzyme_drone,drone,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,,,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,particle,particle_0,particle,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,0,raw,True,False,False,0.10492999649047852,0,-7.701156334253299,-0.11286666040329756,-0.34676197716220264,1.2502443270665389,0.031800584537947645,0.06473050382282794,-2.1977564490112016,-0.18356022374925945,-0.2575694251200555,0.16,1.2523227190561446,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,particle,particle_1,particle,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,1,raw,True,False,False,0.10492999649047852,0,-7.678555618576759,-0.6532201001164726,-0.02381450898038263,1.2746287646870444,0.16228016836578352,0.003113075522460896,-1.8094856958906214,0.3994552735732804,0.03981597294482358,0.16,1.2849214108464597,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,particle,particle_2,particle,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,2,raw,True,False,False,0.10492999649047852,0,-7.735848626185085,0.37647966034711333,0.3773528367814483,0.8388456204932726,-0.05274459787049804,-0.06523742839190508,-1.9986688191400992,-0.12806357593152523,-0.3581781552300422,0.16,0.8430301831420113,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,particle,particle_3,particle,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,3,raw,True,False,False,0.10492999649047852,0,-7.743350994915724,0.3247389735195808,-0.34366236676196144,0.8144597599442361,-0.06836860009397876,0.09104284865152754,-2.1989231793431787,0.39694335695050026,0.007737944683134579,0.16,0.8223793323873224,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,particle,particle_4,particle,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,4,raw,True,False,False,0.10492999649047852,0,-7.7399154712212574,0.5315614126570065,-0.6046129082074523,0.6032760853763951,-0.019994089497047035,-0.028488448865202444,-2.3917052981925413,0.007743999320434319,0.06914759413356952,0.16,0.6042792322433633,,,,,,
20260526-210653-sentence-script-a-stylized-cell-shows-mi-f8c03f,0.1049,0.1049,10,station,station_0,station,1,12,5,0,5,5,0,0,0,0.9613865755350602,0.0,True,FEED,0.06753087043762207,0.0,False,-4.456425953284116,0.0,0.0,-0.9006753546911224,0.0,0.0,-7.52,0.0,0.0,0,5,0,18,12,,,,,,,,-2.0,0.05,0.0,,,,,,,1.75,,Nucleus blueprint office,nucleus,0,0,0.0,
