run_id,frame,elapsed_seconds,ai_enabled,ai_mode,ai_round,paused,selected_alveolus,probe_x,probe_y,probe_z,probe_vx,probe_vy,probe_vz,breathing_phase,breathing_rate,breathing_amplitude,blood_flow_speed,membrane_permeability,avg_capillary_saturation,avg_carrier_saturation,air_o2_count,air_co2_count,blood_o2_count,blood_co2_count,o2_to_blood_transfers,co2_to_air_transfers,attach_count,detach_count,collision_count,spill_count,mark_count,reset_count,tissue_exchange_count,exhaled_count,stagnation_timer,completion_timer,alveolus_1_radius,alveolus_2_radius,alveolus_3_radius,alveolus_4_radius,alveolus_5_radius,path_1_saturation,path_2_saturation,path_3_saturation,path_4_saturation,path_5_saturation
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,417,5.9259,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,27.38044,0.7271,0.105,1.0,1.13935,0.28993,0.28191,93,57,11,4,1,46,1,46,720,0,1,0,0,14,1.27519,0.0,0.93015,0.9706,1.09409,0.94636,1.01946,0.32804,0.27165,0.30096,0.29504,0.25398
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,433,6.1931,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,28.60135,0.7271,0.105,1.0,1.13935,0.2876,0.2777,100,50,11,4,1,46,1,46,724,0,1,0,0,21,1.27519,0.0,0.83078,0.8669,0.9772,0.84526,0.91054,0.32637,0.26948,0.29876,0.29097,0.25244
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,448,6.4548,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,29.79699,0.7271,0.105,1.0,1.13935,0.28516,0.2777,101,49,11,4,1,46,1,46,1031,0,1,0,0,22,1.27519,0.0,0.7696,0.80307,0.90525,0.78302,0.8435,0.32122,0.26795,0.2972,0.28808,0.25135
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,463,6.7195,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,31.00608,0.7271,0.105,1.0,1.13935,0.2833,0.2777,101,49,11,4,1,46,1,46,1051,0,1,0,0,22,1.27519,0.0,0.8238,0.85963,0.969,0.83817,0.9029,0.3173,0.26678,0.29602,0.28588,0.25052
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,478,6.9869,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,32.22787,0.7271,0.105,1.0,1.13935,0.28313,0.27387,101,50,11,3,1,47,1,47,1051,0,1,0,0,22,1.27519,0.0,0.92528,0.96552,1.08837,0.94141,1.01412,0.31432,0.26588,0.30135,0.28421,0.24988
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,493,7.2467,1,careful_breath,1,0,4,0.30594,-0.95925,1.48905,-1.46173,-0.57356,-0.39308,33.41414,0.72592,0.105,1.0,1.14111,0.28169,0.26421,101,51,10,3,1,48,1,48,1051,0,1,0,1,22,1.3177,0.0,0.94193,0.98289,1.10795,0.95835,1.03237,0.31926,0.26521,0.29166,0.28293,0.2494
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,508,7.5079,1,careful_breath,1,0,4,0.00335,-1.09744,1.26638,-0.8864,-0.48514,-1.17751,34.60429,0.72472,0.105,1.0,1.14292,0.27712,0.25315,103,49,10,3,1,48,1,48,1059,0,1,0,1,24,1.47511,0.0,0.85555,0.89276,1.00635,0.87047,0.9377,0.31019,0.2643,0.28133,0.28115,0.24864
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,522,7.7587,1,careful_breath,1,0,4,-0.15999,-1.19965,0.94456,-0.53295,-0.33707,-1.30003,35.74574,0.72382,0.105,1.0,1.14427,0.27166,0.25315,106,46,10,3,1,48,1,48,1343,0,1,0,1,27,1.67336,0.0,0.77602,0.80977,0.9128,0.78956,0.85054,0.30368,0.26158,0.27392,0.2755,0.24362
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,537,8.0264,1,careful_breath,1,0,4,-0.32003,-1.26012,0.62486,-0.7266,-0.12158,-1.11209,36.96273,0.72305,0.105,1.0,1.14543,0.26716,0.25315,106,46,10,3,1,48,1,48,1505,0,1,0,1,27,1.94109,0.0,0.79914,0.8339,0.94,0.81308,0.87587,0.29832,0.25934,0.26782,0.27085,0.23949
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,552,8.2882,1,careful_breath,1,0,4,-0.54826,-1.25901,0.32295,-0.92094,0.11642,-1.25362,38.15125,0.72243,0.105,1.0,1.14636,0.26374,0.25315,106,46,10,3,1,48,1,48,1505,0,1,0,1,27,2.20281,0.0,0.89922,0.93832,1.05771,0.91489,0.98555,0.29424,0.25763,0.26318,0.26731,0.23634
