run_id,frame,elapsed_seconds,sim_time,round_number,ai_enabled,ai_mode,paused,director_x,director_y,director_z,active_channels,molecules_free_inside,molecules_free_outside,molecules_attached,vesicles_alive,first_vesicle_state,first_vesicle_x,first_vesicle_y,first_vesicle_z,first_molecule_kind,first_molecule_inside,first_molecule_state,first_molecule_x,first_molecule_y,first_molecule_z,first_molecule_vx,first_molecule_vy,first_molecule_vz,passes,bounces,collisions,buds,fusions,transfers,marks,spills,detaches,resets,nucleus_absorbed,golgi_absorbed,lysosome_absorbed,er_absorbed
20260526-040130-sentence-script-a-transparent-spherical-2682c1,301,4.628,6.622,1,1,constructive_delivery,0,1.2402,2.9549,0.6844,3,33,20,5,2,fusing,-2.8597,1.8037,0.5747,waste,1,free,0.5311,-0.3381,4.7582,0.3461,-0.5731,-1.0599,0,31,12,3,1,2,12,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,313,4.8294,6.886,1,1,constructive_delivery,0,0.9905,2.9515,0.3603,2,33,20,5,2,fusing,-2.8597,1.8037,0.5747,waste,1,free,0.6294,-0.481,4.4831,0.4011,-0.5478,-1.0286,0,31,19,3,1,2,16,0,0,1,0,2,0,0
20260526-040130-sentence-script-a-transparent-spherical-2682c1,325,5.0308,7.15,1,1,constructive_delivery,0,0.7407,2.9481,0.0362,2,36,20,2,1,budding,0.7488,4.8918,-0.4992,waste,1,free,0.731,-0.623,4.199,0.374,-0.5203,-1.0901,0,31,31,3,2,5,27,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,337,5.234,7.414,1,1,constructive_delivery,0,0.6699,2.833,-0.129,4,36,20,2,1,budding,0.7281,4.7568,-0.4854,waste,1,free,0.8284,-0.7621,3.909,0.3621,-0.5233,-1.0848,0,34,43,3,2,5,31,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,349,5.4404,7.678,1,1,constructive_delivery,0,0.8438,2.5524,-0.1081,4,36,20,2,1,travel,0.6007,4.234,-0.4153,waste,1,free,0.9268,-0.9039,3.6273,0.3902,-0.567,-1.0487,0,36,50,3,2,5,37,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,361,5.6451,7.942,1,1,constructive_delivery,0,0.9616,2.249,-0.1064,4,36,20,2,1,travel,0.3606,3.3618,-0.3112,waste,1,free,1.0403,-1.0468,3.3398,0.4603,-0.5248,-1.1098,0,36,51,3,2,5,39,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,373,5.846,8.206,1,1,artistic_mark,0,1.3984,1.9699,-0.0177,5,36,20,2,1,travel,0.1344,2.6167,-0.2446,waste,1,free,1.1696,-1.1821,3.0468,0.5,-0.488,-1.1167,0,40,51,3,2,5,64,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,385,6.0461,8.47,1,1,artistic_mark,0,1.8511,1.8457,0.2912,5,37,19,2,1,travel,-0.111,1.8945,-0.2077,waste,1,free,1.3085,-1.3104,2.7486,0.5198,-0.5121,-1.1492,1,44,51,3,2,5,100,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,397,6.2473,8.734,1,1,artistic_mark,0,2.0834,1.8244,0.7964,4,35,19,4,2,travel,-0.3328,1.318,-0.2057,waste,1,free,1.4461,-1.4477,2.444,0.537,-0.5059,-1.1463,1,45,51,4,2,5,134,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,409,6.4501,8.998,1,1,artistic_mark,0,1.9583,1.7491,1.3367,3,35,19,4,2,travel,-0.5737,0.7765,-0.2384,waste,1,free,1.575,-1.5716,2.1384,0.4579,-0.456,-1.1533,1,46,52,4,2,5,154,0,0,1,0,2,0,3
