run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,active_loop_count
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,473,8.282,1,0,1,careful,human override,0.62130,3.44300,-3.44300,0.00000,0.00000,3.44300,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,0,10,0,3,6,0,6,-3.46815,-0.32490,0.42323,1,3.46815,0.32310,0.42453,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,486,8.540,1,0,1,careful,human override,0.63755,3.55269,-3.55269,0.00000,0.00000,3.55269,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,6,0,7,-3.57784,-0.50625,0.16790,1,3.57784,0.02945,0.53260,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,500,8.799,1,0,1,careful,human override,0.65505,3.67081,-3.67081,0.00000,0.00000,3.67081,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,1,10,0,3,6,0,7,-3.69597,-0.50567,-0.16924,1,3.69597,-0.29459,0.44476,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,514,9.056,1,0,1,careful,human override,0.67255,3.78894,-3.78894,0.00000,0.00000,3.78894,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,0,10,0,3,7,0,7,-3.81410,-0.30302,-0.43876,1,3.81410,-0.50201,0.18029,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,528,9.317,1,0,1,careful,human override,0.69005,3.90707,-3.90707,0.00000,0.00000,3.90707,0.00000,0.00000,0.50626,0.07500,0.50626,0.07500,0.00000,10,0,10,0,3,7,0,7,-3.93223,0.02087,-0.53281,1,3.93223,-0.51003,-0.15603,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,542,9.579,1,0,1,careful,careful,0.70755,4.02493,-4.02493,0.00000,0.00000,4.02493,0.00000,0.00000,0.49986,0.07500,0.46626,0.07500,0.00000,10,1,10,0,3,7,0,8,-4.05029,0.33646,-0.41363,1,4.05029,-0.31492,-0.43042,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,556,9.836,1,0,1,careful,careful,0.72505,4.13889,-4.13889,0.00000,0.00000,4.13889,0.00000,0.00000,0.47876,0.07500,0.44809,0.07500,0.00000,10,3,10,0,3,7,0,10,-4.16605,0.51741,-0.12868,1,4.16605,0.00626,-0.53317,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,569,10.087,1,0,1,careful,careful,0.74130,4.24046,-4.24046,0.00000,0.00000,4.24046,0.00000,0.00000,0.46037,0.07500,0.43109,0.07500,0.00000,10,3,10,0,4,7,0,10,-4.26960,0.50008,0.18493,1,4.26960,0.30562,-0.43682,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,583,10.357,1,0,1,careful,careful,0.75880,4.34553,-4.34553,0.00000,0.00000,4.34553,0.00000,0.00000,0.44170,0.07500,0.41407,0.07500,0.00000,10,2,10,0,4,8,0,10,-4.37674,0.28863,0.44824,1,4.37674,0.50681,-0.16529,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,596,10.611,1,0,1,careful,careful,0.77505,4.43931,-4.43931,0.00000,0.00000,4.43931,0.00000,0.00000,0.42541,0.07500,0.39962,0.07500,0.00000,10,1,10,0,4,9,0,10,-4.47234,-0.01467,0.53284,1,4.47234,0.51134,0.15019,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,610,10.872,1,0,1,careful,careful,0.79255,4.53651,-4.53651,0.00000,0.00000,4.53651,0.00000,0.00000,0.40924,0.07500,0.38671,0.07500,0.00000,10,2,10,0,4,9,0,11,-4.57137,-0.33251,0.41659,1,4.57137,0.31629,0.42869,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,628,11.140,1,0,1,careful,careful,0.81505,4.65655,-4.65655,0.00000,0.00000,4.65655,0.00000,0.00000,0.39275,0.07500,0.37582,0.07500,0.00000,10,2,10,0,4,9,0,11,-4.69337,-0.53186,0.03574,1,4.69337,-0.10669,0.52181,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,646,11.393,1,0,1,careful,careful,0.83755,4.77234,-4.77234,0.00000,0.00000,4.77234,0.00000,0.00000,0.38049,0.07500,0.36801,0.07500,0.00000,10,3,10,0,4,9,0,13,-4.81065,-0.38541,-0.36827,1,4.81065,-0.45919,0.26982,1,0.00000,0.00000,7
