run_id,frame,elapsed_seconds,sim_time,phase_progress,stage,ai_enabled,ai_mode,paused,loop_count,reset_count,last_reset_reason,selected_chromosome,selected_x,selected_y,selected_z,selected_vx,selected_vy,selected_vz,left_pole_x,left_pole_y,left_pole_z,right_pole_x,right_pole_y,right_pole_z,left_daughter_membrane_x,right_daughter_membrane_x,cleavage_band_radius,alignment_error,average_chromatid_separation,attached_spindle_ends,particle_bounce_count,mark_count,stagnation_seconds,completion_timer,membrane_opacity,nucleus_opacity
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,138,1.9833,1.9842,0.05291,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.49322,0.14560,0.23414,-0.03723,0.01471,-0.11359,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75624,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,144,2.0842,2.0852,0.05560,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.49739,0.14675,0.22288,-0.04420,0.00901,-0.11024,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75722,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,150,2.1858,2.1868,0.05831,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.50231,0.14732,0.21188,-0.05138,0.00320,-0.10674,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75796,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,156,2.2870,2.2879,0.06101,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.50793,0.14730,0.20130,-0.05855,-0.00264,-0.10305,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75846,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,162,2.3883,2.3892,0.06371,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.51428,0.14669,0.19109,-0.06560,-0.00849,-0.09910,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75873,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,168,2.4898,2.4908,0.06642,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.52135,0.14548,0.18128,-0.07244,-0.01433,-0.09482,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75877,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,174,2.6025,2.6035,0.06943,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.52998,0.14345,0.17092,-0.07951,-0.02065,-0.08978,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75854,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,180,2.7108,2.7117,0.07231,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.53900,0.14083,0.16154,-0.08596,-0.02679,-0.08433,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75806,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,186,2.8117,2.8126,0.07500,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.54799,0.13780,0.15335,-0.09133,-0.03232,-0.07896,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75740,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,192,2.9119,2.9129,0.07768,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.55743,0.13424,0.14576,-0.09606,-0.03765,-0.07328,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75654,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,198,3.0125,3.0135,0.08036,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.56734,0.13015,0.13874,-0.10013,-0.04281,-0.06724,-0.25003,0.00000,0.00000,0.25003,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75587,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,204,3.1133,3.1143,0.08305,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.57908,0.11222,0.14535,-0.10080,-0.02306,-0.08500,-0.25228,0.00000,0.00000,0.25228,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75757,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,210,3.2141,3.2151,0.08573,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.58943,0.10937,0.13742,-0.10384,-0.03196,-0.07425,-0.25798,0.00000,0.00000,0.25798,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75798,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,216,3.3149,3.3159,0.08842,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.60003,0.10567,0.13054,-0.10599,-0.03990,-0.06391,-0.26707,0.00000,0.00000,0.26707,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75809,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
