run_id,frame,elapsed_seconds,simulation_seconds,round_index,ai_enabled,human_override,paused,ai_mode,ai_action,cell_x,cell_y,cell_z,cell_vx,cell_vy,cell_vz,pathogen_x,pathogen_y,pathogen_z,pathogen_vx,pathogen_vy,pathogen_vz,distance,attached,engulfed,digest_complete,wrap_progress,digestion_progress,bacterium_scale,collision_count,attach_count,detach_count,engulf_count,orbit_count,mark_count,spill_count,reset_count,trail_count,enzyme_particle_count,digest_particle_count,stagnation_timer
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,510,8.26336,8.26434,1,1,0,0,wrap,wrap:contact,12.04008,1.05,8.63056,-1.28177,0.0,-2.19329,13.60699,1.04562,8.67465,0.0,0.0,-0.0,1.56754,1,0,0,0.8071,0.0,1.0,26,1,0,0,0,46,6,0,44,6,0,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,526,8.51648,8.51746,1,1,0,0,digest,digest:inside,11.90227,1.05,8.23169,-0.25234,0.0,-1.12783,11.65255,0.88549,8.26383,0.0,0.0,0.0,0.25177,0,1,0,1.04118,0.01429,0.98628,33,1,0,1,0,46,22,0,44,22,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,542,8.76829,8.76927,1,1,0,0,digest,digest:inside,11.86164,1.05,7.9923,-0.09402,0.0,-0.79822,11.74427,0.91913,8.15415,0.0,0.0,0.0,0.19993,0,1,0,1.06636,0.03948,0.9621,33,1,0,1,0,46,27,0,43,27,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,557,9.0208,9.02178,1,1,0,0,digest,digest:inside,11.84941,1.05,7.83154,-0.02221,0.0,-0.5025,11.87539,0.96088,8.10274,0.0,0.0,0.0,0.27244,0,1,0,1.09161,0.06473,0.93786,33,1,0,1,0,46,34,0,43,34,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,572,9.28248,9.28346,1,1,0,0,digest,digest:inside,11.84369,1.05,7.73571,-0.0336,0.0,-0.25912,12.01036,1.00068,8.08662,0.0,0.0,0.0,0.38848,0,1,0,1.11778,0.09089,0.91274,33,1,0,1,0,46,36,0,42,36,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,587,9.53737,9.53834,1,1,0,0,digest,digest:inside,11.82649,1.05,7.69237,-0.10343,0.0,-0.10619,12.10528,1.02564,8.08043,0.0,0.0,0.0,0.47782,0,1,0,1.14327,0.11638,0.88827,33,1,0,1,0,46,41,0,42,41,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,602,9.79681,9.79778,1,1,0,0,digest,digest:inside,11.78696,1.05,7.67534,-0.19505,0.0,-0.0446,12.14076,1.03066,8.05723,0.0,0.0,0.0,0.52059,0,1,0,1.16921,0.14233,0.86337,33,1,0,1,0,46,46,0,42,46,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,617,10.04803,10.049,1,1,0,0,digest,digest:inside,11.72792,1.05,7.66285,-0.26421,0.0,-0.0647,12.10874,1.01553,7.99832,0.0,0.0,0.0,0.5075,0,1,0,1.19434,0.16745,0.83925,33,1,0,1,0,46,46,0,42,46,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,632,10.30175,10.30272,1,1,0,0,digest,digest:inside,11.65694,1.05,7.63741,-0.28397,0.0,-0.13664,12.01745,0.98543,7.89184,0.0,0.0,0.0,0.44126,0,1,0,1.21971,0.19282,0.81489,33,1,0,1,0,46,48,0,42,44,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,647,10.56139,10.56237,1,1,0,0,digest,digest:inside,11.58807,1.05,7.58971,-0.23862,0.0,-0.22363,11.88247,0.94865,7.73581,0.0,0.0,0.0,0.32866,0,1,0,1.24567,0.21879,0.78997,33,1,0,1,0,46,48,0,42,43,34,0.0
