run_id,sim_time,round_number,row_type,entity_id,entity_state,x,y,z,vx,vy,vz,radius,opacity,color_r,color_g,color_b,selected,ai_enabled,ai_mode,human_override_active,paused,event_count,free_viruses,bound_viruses,injecting_viruses,endocytosed_viruses,released_viruses,open_receptors,occupied_receptors,used_receptors,marked_receptors,particles_count,loose_genomes_count,active_genomes_count,target_receptor_id,bound_receptor_id,bound_time,genome_length,genome_active,receptor_use_count,receptor_marked,extra
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,10,burst_particle,0.0037045806111048966,4.692908549404736,-0.04486180548405642,-0.26043474663677935,-0.14400671033595366,-0.048484009376956634,0.044740740586852415,0.7674992944253657,1.0335453130279622,0.854707156682929,0.25857996886615164,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.8418943391068887
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,11,burst_particle,-0.03190652848876452,4.718013147789752,-0.004918884811217874,0.08162289209678586,-0.27426927602048307,0.2365279987593023,0.01863201312383221,0.7639003951434732,0.9920086306683809,0.8206470771480723,0.24944189874704378,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.4234518212422793
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,12,burst_particle,-0.017387380058851827,4.651821890693275,-0.0005096745032415143,-0.5380381934989636,-0.12177212936204317,-0.24057795018314354,0.026069360700793985,0.7649087165540999,0.8039496410235227,0.6664387056392886,0.208068921025175,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.5205639453320972
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,13,burst_particle,0.004074008720668588,4.676265238816957,0.030710560077146076,-0.05208887294441513,0.03791367209614964,-0.20848596012841022,0.01806953234027591,0.7648943064437191,1.0362250334526324,0.8569045274311585,0.2591695073595791,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.5190847813651291
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,14,burst_particle,0.04740851150725085,4.728077817985601,0.002135952267179126,0.4759951295552413,-0.049981370309647964,0.33623752599594525,0.024532929037672777,0.7583976161073256,1.0333318550088224,0.8545321211072343,0.2585330081019409,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.0532137840090516
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,15,burst_particle,0.027175317518023722,4.6778455363283555,-0.03129110549304507,0.20117617556984416,-0.48553927957199144,0.2559307962934685,0.028795289482586264,0.7652115419598136,0.9137109049568093,0.7564429420645836,0.23221639909049804,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.552315068711841
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,16,burst_particle,0.007508556785230883,4.677013018885906,-0.04408804308750239,0.14430822930670603,-0.5243417887063062,0.008283851569981328,0.027162560281414394,0.7550425120766157,0.9363701526999488,0.775023525213958,0.23720143359398874,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.9075943633363415
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,17,burst_particle,-0.0061702803630002846,4.687943159663533,-0.03749108135614235,0.06134731231380766,0.10613330954540796,0.13335192845216204,0.02824649850169853,0.7537936203556361,0.9076862099574243,0.7515026921650879,0.23089096619063335,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.8629123487315606
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,18,burst_particle,-0.03447065118882392,4.675347186067381,0.02006980755071393,0.08038636010299341,0.03322919891360882,0.5992750752727196,0.025536445534526237,0.7519584262449741,0.9844633805127319,0.8144599720204401,0.24778194371280102,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.8044752760463761
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,19,burst_particle,0.03784010603695654,4.690275121341082,0.011176054727911361,-0.09398472523788017,-0.06223737747837702,-0.208340526314168,0.023661631662849666,0.7474292004399671,0.7810372205018423,0.6476505208115106,0.2030281885104053,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.6884349268697023
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,20,burst_particle,-0.011241050782565976,4.715996565258296,0.03453113121161377,-0.003281833214015268,-0.4538005801957932,0.08939926477484023,0.026355766238046426,0.765966314775387,1.0339410450932354,0.855031656976453,0.25866702992051177,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.6374166211851502
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,21,burst_particle,-0.01066458343983903,4.644521572983689,-0.025392787421411767,-0.1290640012919093,-0.5451936127782334,-0.12305332098923911,0.039001382202402804,0.7591428725804641,0.9586413990945779,0.7932859472575539,0.24210110780080715,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=1.091918638617621
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,22,burst_particle,-0.00964535022508325,4.724328136437912,0.031002330786821058,-0.1355787836760916,-0.2147791197660685,-0.041767350525835474,0.032621240942170907,0.754930937890653,0.9897802077309484,0.8188197703393777,0.24895164570080866,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.9034214378636597
