run_id,sample_index,sim_time_s,frame,round,ai_enabled,ai_mode,paused,ion_index,ion_charge,ion_marked,ion_attached_channel,ion_inside,ion_x,ion_y,ion_z,ion_vx,ion_vy,ion_vz,ion_speed,ion_recent_transfer_timer,total_ions,inside_count,outside_count,open_channel_count,total_crossings,global_pressure_bias,global_swirl_strength,electric_x,electric_y,electric_z,channel_open_mask,channel_attached_counts
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,10,1,0,,0,-0.570945,7.271116,0.876257,0.235965,-0.192696,0.335157,0.452926,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,11,-1,0,,0,-7.121413,-2.008675,-1.19308,0.104576,-0.075121,-0.342501,0.365905,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,12,1,0,,0,-3.52109,4.231834,5.007282,0.451087,0.203398,0.551478,0.740931,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,13,1,0,,0,7.069068,1.651689,-3.085769,0.001638,0.366405,0.363606,0.516202,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,14,-1,0,,0,-0.233431,-6.913979,2.203195,-0.19852,0.56987,0.369344,0.707514,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,15,-1,0,,0,6.278306,-0.935394,2.815673,-0.136903,-0.773162,0.2095,0.812658,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,16,1,0,,0,-0.146843,6.33445,-3.315448,-0.182256,0.187462,-0.268914,0.375065,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,17,1,0,,0,2.035415,-5.480758,2.276253,-0.187914,0.578809,0.468315,0.767887,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,18,-1,0,,0,-5.194243,5.242323,-1.688354,-0.353879,-0.195651,-0.144588,0.429436,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,19,1,0,,0,-4.438717,-3.725786,-2.668353,0.626559,-0.085818,0.480802,0.794425,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,20,-1,0,,0,-3.241676,3.812019,-4.289817,-0.139927,0.109907,-0.72637,0.747845,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190407-sentence-script-a-transparent-3d-cell-me-8bbf3b,0,0.02,1,1,1,BALANCE,0,21,1,0,,0,2.32254,-4.95118,-2.97702,0.027791,-0.792328,0.134164,0.804087,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
