run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,left_fork_paused,right_fork_paused
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,486,9.143,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.54979,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.49203,0.20707,1,0.58003,0.08482,0.52690,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,503,9.404,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.56415,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.49692,-0.19497,1,0.58003,-0.30892,0.43491,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,521,9.665,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.57647,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.19727,-0.49596,1,0.58003,-0.52896,0.06727,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,539,9.920,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.58619,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.22766,-0.48270,1,0.58003,-0.40676,-0.34456,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,554,10.183,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.59366,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.48129,-0.23055,1,0.58003,-0.09313,-0.52480,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,568,10.434,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.59815,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.52403,0.10111,1,0.58003,0.24206,-0.47480,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,582,10.695,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.59998,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.36079,0.39320,1,0.58003,0.47941,-0.23271,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,596,10.964,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.59879,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.05458,0.53068,1,0.58003,0.52233,0.10470,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,611,11.228,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.59463,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.29461,0.44459,1,0.58003,0.33300,0.41572,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,625,11.486,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.58777,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.50223,0.17931,1,0.58003,0.01337,0.53253,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,637,11.740,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.57850,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,-0.52158,-0.11064,1,0.58003,-0.27007,0.45922,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,649,11.994,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.56699,0.07500,0.00000,10,2,10,0,4,6,0,8,-0.58003,-0.38598,-0.36780,1,0.58003,-0.47200,0.24699,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,660,12.245,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.55356,0.07500,0.00000,10,2,10,0,4,6,0,8,-0.58003,-0.15906,-0.50885,1,0.58003,-0.53244,-0.01547,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,674,12.500,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.53829,0.07500,0.00000,10,2,10,0,11,6,0,8,-0.58003,0.17898,-0.50213,1,0.58003,-0.41369,-0.33536,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,688,12.750,1,1,1,careful,careful,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.52192,0.07500,0.00000,10,2,10,0,11,6,0,8,-0.58003,0.44524,-0.29297,1,0.58003,-0.12528,-0.51762,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,702,13.010,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,6,10,0,12,6,0,12,-0.58003,0.53160,0.03560,1,0.58003,0.21546,-0.48678,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,716,13.276,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,5,10,0,12,7,0,12,-0.58003,0.40026,0.35112,1,0.58003,0.46831,-0.25218,1,0.00000,0.00000,1,0
