run_id,time,round,row_type,object_id,object_name,state,ai_enabled,ai_mode,paused,flow_speed,delivered_round,total_delivered,active_vesicles,incoming_count,attached_count,transfer_count,outgoing_count,particle_count,membrane_mark_count,selected_vesicle_id,x,y,z,vx,vy,vz,radius,progress,cis_index,s,age,stall_time,target_x,target_y,target_z,cargo_x,cargo_y,cargo_z,color_r,color_g,color_b,opacity,life,max_life,cisterna_index,cisterna_y,receptor_index,membrane_x,drone_x,drone_y,drone_z,stagnation_time,completion_time
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,8,receptor_8,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,2.507131423810243,-0.5116051150179295,,,,0.16844399641106367,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,8,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,9,receptor_9,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-1.193874011357839,-1.0632527205776547,,,,0.16979568759466773,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,9,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,10,receptor_10,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-0.24123152763896716,-0.9669365799483027,,,,0.17943203591580253,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,10,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,11,receptor_11,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-0.10460355830457901,1.8355495249493834,,,,0.17711950990119268,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,11,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,12,receptor_12,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-2.48402015657055,1.7746663511159921,,,,0.12042853356290413,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,12,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,13,receptor_13,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-0.43488882126443906,0.4314952704390329,,,,0.1434083403921188,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,13,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,14,receptor_14,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-0.2888988719529819,-1.184254275584478,,,,0.12810510562126592,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,14,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,15,receptor_15,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-1.3100588561145279,0.7993291890282004,,,,0.15376702288496746,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,15,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,16,receptor_16,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,0.7456683225092711,-0.5320000901533677,,,,0.15669861764728227,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,16,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.0,1,receptor,17,receptor_17,static,True,constructive,False,1.0,0,0,6,6,0,0,0,0,0,0,5.46,-2.642884126355174,1.5856544818037381,,,,0.17957599590675177,,,,,,,,,,,,0.25,0.58,0.9,0.5,,,,,17,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,summary,summary,,running,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,-4.592800000243,3.3497601619999946,1.6199999453250005e-06,0.0,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,ai_controller,ai,AI_constructive,enabled,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-4.592800000243,3.3497601619999946,1.6199999453250005e-06,,,,0.15,,,,,,,,,,,,0.25,0.95,0.55,,,,,,,,,,,0.0,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,0,vesicle_0,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.483199679951686,-2.0667509564422946,0.20300469891642994,0.4513420676802089,-0.02741922727364065,0.019915642042005514,0.11604584262680402,0,0,0.0,0.001,0.001,-3.18,-2.114235638548455,0.14302453894498188,-5.443744271008579,-2.066676222985533,0.20307664729089295,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,1,vesicle_1,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.3634683227285525,-2.4314983645442547,0.9421415792526412,0.35856216711659206,-0.026226329216227594,-0.06708922675423103,0.13239940273991826,0,0,0.0,0.001,0.001,-3.18,-2.020545325237861,0.1989249933847639,-5.318452728367914,-2.4314130994040655,0.9422236668276148,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,2,vesicle_2,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.374131963863405,-2.0957151965816525,0.4455531732263577,0.39793365066913006,0.030419556085074396,0.015632643470233434,0.1254245146404486,0,0,0.0,0.001,0.001,-3.18,-2.0300646354735292,0.0442403171889002,-5.331487820785016,-2.095634423265439,0.44563093637359263,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,3,vesicle_3,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.338295966515836,-2.553220241986905,-0.7597035533151228,0.2358006201261329,0.002819814421931821,0.07964718027272184,0.1196267196662116,0,0,0.0,0.001,0.001,-3.18,-2.080299761864951,-0.10224453730415808,-5.297623064858068,-2.553143202447363,-0.7596293847983755,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,4,vesicle_4,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.288071351903219,-2.386161911454208,0.047171297016281005,0.24239761151244307,-0.03583434324533222,0.05801690746439226,0.11573652526018956,0,0,0.0,0.001,0.001,-3.18,-2.0536145004921513,-0.10834154468341473,-5.2487211103915055,-2.3860873771976547,0.047243053614104566,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,vesicle,5,vesicle_5,incoming,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-5.222026004565293,-2.0026495308341175,-0.5222657878877262,0.43510229140481693,-0.010912705990672539,0.045845464173314955,0.13295280892120964,0,0,0.0,0.001,0.001,-3.18,-2.160683466401637,-0.022749830223206494,-5.1768222529497265,-2.0025639093006617,-0.5221833572011488,0.25,0.65,1.0,0.88,,,,,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,membrane,membrane,delivery_zone,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.55,0.0,0.0,,,,,,,,,,,,,,,,0.52,0.78,1.0,0.2,,,,,,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,0,cisterna_0,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.18,-2.35,0.04,,,,0.95,,,,,,,,,,,,0.62,0.85,1.0,,,,0,-2.35,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,1,cisterna_1,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.13695863454602863,-1.4700000000000002,0.021612092234725593,,,,1.0173176787846316,,,,,,,,,,,,0.57,0.92,0.92,,,,1,-1.4700000000000002,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,2,cisterna_2,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.12002558381750969,-0.5900000000000001,-0.016645873461885695,,,,1.0227437941460544,,,,,,,,,,,,0.66,0.95,0.72,,,,2,-0.5900000000000001,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,3,cisterna_3,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.13947220916693095,0.29000000000000004,-0.03959969986401782,,,,0.9612896006447893,,,,,,,,,,,,1.0,0.92,0.58,,,,3,0.29000000000000004,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,4,cisterna_4,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.1835024486056548,1.17,-0.026145744834544477,,,,0.8894558003753656,,,,,,,,,,,,1.0,0.74,0.55,,,,4,1.17,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,cisterna,5,cisterna_5,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,-0.2254081497184757,2.0500000000000003,0.01134648741852905,,,,0.8732860580269489,,,,,,,,,,,,1.0,0.62,0.78,,,,5,2.0500000000000003,,,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,0,receptor_0,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,1.0637964487339797,-1.3005309731496544,,,,0.14502749999445413,,,,,,,,,,,,0.25,0.58,0.9,0.51012599995884,,,,,0,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,1,receptor_1,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,1.9263863040262725,1.4729458654816883,,,,0.166051620203365,,,,,,,,,,,,0.25,0.58,0.9,0.5680759051155184,,,,,1,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,2,receptor_2,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-1.4462939830876773,1.5438423360507127,,,,0.16772097788182266,,,,,,,,,,,,0.25,0.58,0.9,0.598711804635319,,,,,2,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,3,receptor_3,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-2.2732815690929953,-1.8428727368152475,,,,0.14850077327889055,,,,,,,,,,,,0.25,0.58,0.9,0.5876251562749448,,,,,3,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,4,receptor_4,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-0.11677891988619749,0.7321156845215664,,,,0.12606197386798962,,,,,,,,,,,,0.25,0.58,0.9,0.540030183991939,,,,,4,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,5,receptor_5,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,0.1292637134571213,-1.6677441949933018,,,,0.12103470834567683,,,,,,,,,,,,0.25,0.58,0.9,0.47831154694295575,,,,,5,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,6,receptor_6,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-2.279855191647896,0.4147062256715821,,,,0.13804102144874375,,,,,,,,,,,,0.25,0.58,0.9,0.4314964845124379,,,,,6,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,7,receptor_7,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,0.2703101457366559,-1.821576891477068,,,,0.16144538733886182,,,,,,,,,,,,0.25,0.58,0.9,0.4216028520669867,,,,,7,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,8,receptor_8,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,2.507131423810243,-0.5116051150179295,,,,0.16972993995141972,,,,,,,,,,,,0.25,0.58,0.9,0.45328377953796944,,,,,8,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,9,receptor_9,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-1.193874011357839,-1.0632527205776547,,,,0.15527789982060358,,,,,,,,,,,,0.25,0.58,0.9,0.5116392317076358,,,,,9,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,10,receptor_10,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-0.24123152763896716,-0.9669365799483027,,,,0.131376405993688,,,,,,,,,,,,0.25,0.58,0.9,0.5692237275914991,,,,,10,5.55,,,,,
20260526-184203-sentence-script-stacked-curved-golgi-cis-772602,0.001,1,receptor,11,receptor_11,static,True,constructive,False,1.00013,0,0,6,6,0,0,0,0,0,0,5.46,-0.10460355830457901,1.8355495249493834,,,,0.12000038166775286,,,,,,,,,,,,0.25,0.58,0.9,0.5989543789928099,,,,,11,5.55,,,,,
