run_id,sample_index,recording_time_seconds,frame,round_index,simulation_time_seconds,progress,stage,paused,ai_enabled,ai_mode,ai_override,ai_mode_timer,ai_stagnation_time,speed_modifier,human_speed_bias,ai_noise,pull_bias,constriction_bias,drift_bias,complete_timer,chromosome_separation,attachment_ratio,particle_count,marker_count,wrapper_count,daughter_distance,entity_type,entity_id,entity_part,x,y,z,vx,vy,vz,radius,visible,left_attached,right_attached,connector_visible,notes
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,0,left_chromatid,-0.001234,0.267447,0.026176,,,,0.151231,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,0,right_chromatid,0.158766,0.267627,0.026993,,,,0.160582,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,1,left_chromatid,-0.151705,0.280360,0.282277,,,,0.160767,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,1,right_chromatid,0.008295,0.280579,0.283085,,,,0.150360,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,2,left_chromatid,-0.216657,0.150912,0.529765,,,,0.155807,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,2,right_chromatid,-0.056657,0.151641,0.530186,,,,0.135210,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,3,left_chromatid,-0.024049,-0.416789,0.646840,,,,0.140911,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,3,right_chromatid,0.135951,-0.415971,0.646718,,,,0.129061,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,4,left_chromatid,-0.155535,-0.719671,0.300186,,,,0.129774,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,4,right_chromatid,0.004465,-0.719065,0.299635,,,,0.137566,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,5,left_chromatid,-0.109847,-0.693383,-0.238322,,,,0.132636,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,5,right_chromatid,0.050153,-0.692976,-0.237585,,,,0.152906,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,6,left_chromatid,-0.024656,-0.290568,-0.444355,,,,0.146865,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,6,right_chromatid,0.135344,-0.290272,-0.443570,,,,0.160977,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,7,left_chromatid,-0.037931,0.114680,-0.666321,,,,0.159379,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,7,right_chromatid,0.122069,0.115222,-0.665674,,,,0.154359,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,8,left_chromatid,-0.201712,0.500361,-0.466181,,,,0.158674,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,chromosome,8,right_chromatid,-0.041712,0.500343,-0.467012,,,,0.139136,1,1,1,1,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,1,0.100000,6,1,0.100000,0.004398,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.100000,0.066667,0.963150,1.000000,0.009236,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,marker,0,glyph,0.000000,0.951800,0.000000,,,,0.075000,1,,,,duplicated chromosome cluster
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,simulation,global,summary,,,,,,,,,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,single,cell_body,0.000000,0.000000,0.000000,,,,1.726175,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,single,membrane,0.000000,0.000000,0.000000,,,,1.776175,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,left_daughter,body,-0.720000,0.000000,0.000000,,,,1.220000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,cell,right_daughter,body,0.720000,0.000000,0.000000,,,,1.220000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,nucleus,left,body,-0.720000,0.000000,0.000000,,,,0.860000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,nucleus,right,body,0.720000,0.000000,0.000000,,,,0.860000,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,spindle_pole,left,pole,-0.550000,0.000000,0.000000,,,,0.147934,1,,,,
20260526-035836-sentence-script-a-transparent-3d-cell-un-494f99,2,0.200000,12,1,0.200000,0.008664,Prophase: duplicated chromosomes condense,0,1,OBSERVE,0,0.200000,0.166667,0.938370,1.000000,0.015258,1.000000,1.000000,1.000000,0.000000,0.160000,1.000000,0,1,0,1.440000,spindle_pole,right,pole,0.550000,0.000000,0.000000,,,,0.144962,1,,,,
